place,mag,time,longitude,latitude,depth
"57 km S of Whites City, New Mexico",2.6,1782690928945,-104.332,31.661,5.2599
"12 km NNE of Whittier, Alaska",1.3,1782690790668,-148.637,60.883,15.6
"9 km WNW of The Geysers, CA",0.75,1782690575730,-122.843002319336,38.8221664428711,2.08999991416931
"5 km NW of Boron, CA",1.33,1782689272550,-117.685333333333,35.0306666666667,-0.7
"29 km SE of Balmorhea, Texas",1.9,1782689244385,-103.515,30.809,0.3873
"10 km NNE of Ashford, Washington",0.360000014,1782687704420,-121.999664306641,46.8488349914551,7.28000020980835
"9 km N of Redwood Valley, CA",1.44,1782687243940,-123.200836181641,39.3476676940918,8.4399995803833
"2 km SE of Pacifica, CA",1.33,1782686855690,-122.46900177002,37.6030006408691,8.88000011444092
"13 km ENE of Pāhala, Hawaii",1.78,1782686586810,-155.36067199707,19.2463340759277,31.4899997711182
"22 km WSW of Susitna North, Alaska",1.6,1782686519415,-150.242,62.085,12.3
"6 km W of Cobb, CA",1.02,1782686203900,-122.795501708984,38.8264999389648,2.64000010490417
"2 km E of Universal City, CA",1.37,1782685753470,-118.335,34.1361666666667,15.82
"8 km W of Lake Henshaw, CA",1.44,1782685605620,-116.844665527344,33.2418327331543,19.8099994659424
"10 km NNE of Ashford, Washington",1.51136815547943,1782685476650,-121.99649810791,46.8488349914551,7.61999988555908
"48 km SSE of Tanana, Alaska",1.5,1782685257195,-151.72,64.763,14.8
"17 km SSW of Oasis, CA",1.7,1782685006670,-116.171666666667,33.324,10.68
"10 km ESE of Geráki, Greece",4.1,1782684508460,22.8203,36.9704,65.849
"19 km SSW of Susitna, Alaska",1.9,1782683176638,-150.654,61.381,47.5
"173 km S of Lembar, Indonesia",5.0,1782683031470,116.1323,-10.2921,10.0
"4 km SSW of Kalaoa, Hawaii",2.09,1782682936860,-156.002502441406,19.6938323974609,42.0900001525879
"21 km N of Searles Valley, CA",2.12,1782681673830,-117.391666666667,35.9578333333333,2.73
"13 km SW of Denali Park, Alaska",1.7,1782681433774,-149.126,63.652,5.0
"19 km WSW of Ivanof Bay, Alaska",1.6,1782678525324,-159.769,55.838,9.7
"8 km W of Cobb, CA",0.71,1782677404960,-122.817001342773,38.8349990844727,1.58000004291534
"65 km WNW of Catuday, Philippines",4.7,1782676893567,119.2155,16.4442,10.0
"3 km NNW of The Geysers, CA",1.44,1782676762830,-122.772499084473,38.8051681518555,3.17000007629395
"11 km ESE of Willits, CA",1.36,1782676431950,-123.236503601074,39.372501373291,5.48000001907349
"296 km WNW of Houma, Tonga",4.2,1782676183292,-178.0324,-20.4175,349.485
"55 km SW of Karluk, Alaska",1.9,1782675744651,-155.1,57.21,61.6
"5 km WSW of Grandfalls, Texas",1.7,1782675727579,-102.907,31.318,1.1013
"29 km SSW of Alamo, Nevada",2.41,1782675059615,-115.2844,37.1161,3.1144
"33 km SSW of Alamo, Nevada",2.07,1782674832523,-115.3023,37.082,7.1719
"63 km WNW of Catuday, Philippines",4.6,1782674757500,119.2433,16.4879,10.0
"36 km NW of Willow, Alaska",2.7,1782674634298,-150.528,61.974,26.8
"25 km NNW of Fishhook, Alaska",1.6,1782674417202,-149.503,61.936,3.9
"7 km E of La Parguera, Puerto Rico",2.21,1782673941850,-66.9796666666667,17.9645,13.82
"95 km SSE of King Cove, Alaska",3.3,1782673802523,-161.7628,54.2687,35.0
"68 km WNW of Catuday, Philippines",5.0,1782673743928,119.2088,16.5146,10.0
"6 km NNW of The Geysers, CA",1.08,1782673475690,-122.791000366211,38.8221664428711,0.959999978542328
"7 km NW of The Geysers, CA",1.08,1782672829750,-122.813499450684,38.8246650695801,2.0
"8 km ENE of Fox, Alaska",1.3,1782672597829,-147.455,64.982,3.6
"39 km SW of Kandrian, Papua New Guinea",4.7,1782672321433,149.341,-6.4983,30.018
"21 km WNW of Djelfa, Algeria",4.6,1782671831965,3.0556,34.7539,10.0
"46 km WNW of Mentone, Texas",0.8,1782671564190,-104.072,31.806,0.0
"6 km ESE of Valle Vista, CA",1.05,1782671004050,-116.829333333333,33.7278333333333,15.22
"42 km SSW of Nanwalek, Alaska",2.8,1782670810861,-152.286,59.027,52.7
"37 km NE of Whittier, Alaska",1.6,1782670573790,-148.183,61.004,21.9
"6 km NNW of The Geysers, CA",1.17,1782670019030,-122.788497924805,38.8209991455078,2.42000007629395
"20 km NW of Girdwood, Alaska",1.2,1782669992543,-149.409,61.087,32.6
"10 km SSE of Kiupo, Philippines",4.5,1782669437188,125.36,5.7561,60.243
"87 km N of Yakutat, Alaska",2.2,1782669369056,-140.007,60.319,5.0
"4 km NW of Belden, CA",2.15,1782669028320,-121.277168273926,40.0328330993652,12.0299997329712
"71 km SE of Pope-Vannoy Landing, Alaska",2.2,1782668582554,-153.444,59.196,96.5
"50 km WSW of Abra Pampa, Argentina",4.5,1782668056402,-66.1655,-22.8713,252.862
"19 km WSW of Johannesburg, CA",1.07,1782667439290,-117.822333333333,35.3033333333333,8.48
"142 km E of Chalkyitsik, Alaska",2.7,1782667336498,-140.5106,66.6321,9.519
"9 km N of Borrego Springs, CA",1.08,1782666570980,-116.390833333333,33.3338333333333,6.21
"23 km E of Coso Junction, CA",0.68,1782666425710,-117.693,36.064,2.48
"34 km SW of Skwentna, Alaska",2.0,1782666341156,-151.913,61.795,109.2
"10 km WSW of Morongo Valley, CA",1.51,1782666010980,-116.667,33.9996666666667,13.11
"6 km NE of Alder Springs, CA",2.05,1782665394740,-122.674835205078,39.6851654052734,8.72000026702881
"7 km WNW of The Geysers, CA",0.84,1782664813020,-122.826835632324,38.8116683959961,1.46000003814697
"7 km WNW of The Geysers, CA",0.72,1782664606900,-122.824836730957,38.8066673278809,2.15000009536743
"36 km E of Chenega, Alaska",1.8,1782664334420,-147.359,60.04,24.0
"48 km SSE of Whites City, New Mexico",1.5,1782664223158,-104.222,31.756,4.1163
"89 km NNW of Karluk, Alaska",0.7,1782663618142,-155.072,58.301,5.0
"6 km NNW of Pala, CA",0.0,1782663470310,-117.112666666667,33.4116666666667,-0.26
"9 km N of Anza, CA",0.85,1782663159390,-116.6885,33.6313333333333,16.18
"8 km WNW of Changning, China",5.2,1782663128958,104.8416,28.6031,10.0
"37 km ESE of Pedro Bay, Alaska",1.8,1782662928001,-153.468,59.705,123.7
"89 km NW of Karluk, Alaska",0.4,1782660818191,-155.36,58.214,2.6
"7 km NW of The Geysers, CA",1.1,1782660137570,-122.80883026123,38.8238334655762,2.65000009536743
"128 km S of Sand Point, Alaska",3.6,1782659046524,-160.7948,54.1962,30.074
"6 km E of Elgin, South Carolina",2.22,1782658597970,-80.72,34.1641666666667,4.38
"43 km ENE of Noda, Japan",4.2,1782658173467,142.2587,40.3091,56.833
"6 km NNW of Wickett, Texas",1.7,1782658062478,-103.029,31.625,0.0
"4 km WSW of Anza, CA",0.26,1782657735670,-116.711666666667,33.539,5.55
"84 km NNW of Venetie, Alaska",2.6,1782657369410,-147.23,67.708,0.2
"9 km WNW of Cobb, CA",0.78,1782656546240,-122.824165344238,38.8404998779297,2.25999999046326
"52 km E of Ugashik, Alaska",1.9,1782655939652,-156.53,57.568,121.6
"84 km SW of Karluk, Alaska",2.3,1782655788226,-155.595,57.131,70.5
"4 km E of Point MacKenzie, Alaska",1.1,1782654543124,-149.898,61.361,30.2
"4 km S of West Hollywood, CA",1.51,1782654129080,-118.356166666667,34.05,10.66
"18 km ESE of Anza, CA",0.55,1782654034700,-116.4885,33.5111666666667,15.17
"18 km ESE of Anza, CA",0.47,1782653661810,-116.490666666667,33.5023333333333,12.57
"3 km SW of Pāhala, Hawaii",1.94,1782653479360,-155.501159667969,19.1846675872803,31.9400005340576
"18 km ESE of Anza, CA",0.5,1782652377320,-116.495,33.4948333333333,12.43
"10 km NE of Hoodsport, Washington",2.03133034706116,1782651867160,-123.040496826172,47.4661674499512,6.42999982833862
"61 km S of Whites City, New Mexico",1.6,1782651816070,-104.493,31.632,3.595
"8 km WSW of Anza, CA",0.88,1782651403930,-116.744833333333,33.5171666666667,3.97
"44 km W of Austin, Nevada",1.82,1782650802520,-117.5781,39.4277,14.5151
"12 km ESE of Anza, CA",0.57,1782650333670,-116.552833333333,33.5136666666667,13.86
"65 km E of Cruz Bay, U.S. Virgin Islands",3.41,1782648551030,-64.1855,18.425,24.9
"16 km ESE of Susitna North, Alaska",1.5,1782648502146,-149.567,62.101,44.5
"12 km SW of Jal, New Mexico",1.7,1782648363883,-103.28,32.033,1.6606
"10 km W of Valdez, Alaska",1.3,1782648120688,-146.542,61.147,12.5
"11 km NNE of Aleneva, Alaska",2.0,1782647993883,-152.834,58.157,55.0
"20 km ESE of Little Lake, CA",0.68,1782647411100,-117.699666666667,35.8605,9.0
"14 km SSW of Maricopa, CA",1.51,1782647246360,-119.442333333333,34.9335,9.6
"225 km NE of Lospalos, Timor Leste",4.5,1782646531479,128.695,-7.38,165.511
"23 km ENE of Beluga, Alaska",1.9,1782646235557,-150.703,61.251,55.6
"21 km ENE of Sterling, Alaska",1.3,1782646164893,-150.441,60.641,49.1
"59 km WNW of San Antonio de los Cobres, Argentina",4.2,1782645985588,-66.8773,-24.0562,206.575
"19 km NNE of Indio, CA",1.92,1782645747920,-116.166666666667,33.89,5.55
"4 km WNW of The Geysers, CA",0.8,1782645583690,-122.803337097168,38.7936668395996,3.66000008583069
"12 km SSW of Jal, New Mexico",1.9,1782645039471,-103.248,32.012,8.0324
"21 km WNW of Ivanof Bay, Alaska",1.4,1782644979297,-159.812,55.953,12.7
"9 km ESE of Palomar Observatory, CA",0.69,1782644747830,-116.770166666667,33.337,15.16
"65 km W of Foxton Beach, New Zealand",5.0,1782644652997,174.4645,-40.3938,81.184
"7 km NNW of Julian, CA",0.75,1782644218770,-116.637666666667,33.13,3.9
"21 km W of Ivanof Bay, Alaska",1.7,1782644125673,-159.831,55.916,12.5
"13 km WSW of Searles Valley, CA",0.94,1782643744460,-117.5425,35.7263333333333,5.0
"6 km WNW of Cobb, CA",1.49,1782643689460,-122.78466796875,38.8373336791992,1.66999995708466
"9 km SE of Pinnacles, CA",1.69,1782643153700,-121.082664489746,36.4678344726562,6.26000022888184
"8 km W of Aguanga, CA",0.33,1782642565490,-116.946,33.448,10.16
"1 km NE of The Geysers, CA",1.06,1782642171430,-122.74666595459,38.7883338928223,1.62999999523163
"7 km ESE of Cloverdale, CA",0.83,1782641633380,-122.952667236328,38.7751655578613,7.59999990463257
"4 km SE of Loma Linda, CA",1.08,1782641441870,-117.23,34.0261666666667,11.28
"81 km NW of Eureka Roadhouse, Alaska",1.6,1782640892206,-148.091,62.526,61.6
"88 km SE of Ugashik, Alaska",2.0,1782640384529,-156.539,56.871,0.5
"20 km SSE of Punta Cana, Dominican Republic",3.82,1782639932960,-68.352,18.4056,158.0
"1 km ENE of The Geysers, CA",1.17,1782639532020,-122.744499206543,38.7803344726562,0.28999999165535
"19 km WSW of Morón, Venezuela",4.3,1782639238852,-68.3766,10.4497,10.0
"5 km NW of Coso Junction, CA",0.64,1782638778870,-117.986166666667,36.0795,6.24
"38 km WNW of Nanwalek, Alaska",2.9,1782638700689,-152.585,59.426,75.3
"5 km WSW of Volcano, Hawaii",1.81,1782638620350,-155.278839111328,19.4223327636719,-1.11000001430511
"6 km SW of Funny River, Alaska",1.6,1782638306797,-150.858,60.465,61.9
"20 km NNW of Indian Springs, Nevada",1.9,1782637044824,-115.7729,36.7333,1.6792
"20 km W of Boca de Aroa, Venezuela",4.5,1782636370376,-68.4901,10.6806,10.0
"30 km N of Fishhook, Alaska",1.0,1782636179250,-149.197,62.015,42.9
"29 km WSW of Pueblo Rico, Colombia",4.4,1782635965505,-76.2909,5.1606,94.364
south of Africa,4.7,1782635666555,27.5651,-52.7331,10.0
"60 km ESE of Pope-Vannoy Landing, Alaska",1.3,1782635377693,-153.539,59.317,113.5
"15 km SSE of Anza, CA",0.96,1782634844650,-116.6185,33.4273333333333,9.71
"7 km NW of The Geysers, CA",1.1,1782634663090,-122.806503295898,38.8255004882812,2.44000005722046
"34 km WNW of Susitna, Alaska",1.1,1782633923510,-151.08,61.688,72.3
"9 km ESE of Willits, CA",1.61,1782633081030,-123.264335632324,39.3731651306152,0.449999988079071
"84 km NNW of Karluk, Alaska",0.8,1782632907827,-154.917,58.284,5.0
"76 km NW of Karluk, Alaska",0.8,1782632581188,-155.322,58.079,9.5
"18 km WSW of Tatitlek, Alaska",1.6,1782631481690,-147.0,60.812,28.7
"45 km NE of Port-Olry, Vanuatu",5.2,1782630345186,167.4024,-14.7852,160.295
"18 km ESE of Anza, CA",0.57,1782630300290,-116.490333333333,33.5063333333333,12.12
"12 km ESE of Willits, CA",1.44,1782630091680,-123.231163024902,39.3703346252441,6.55999994277954
"2 km ENE of The Geysers, CA",0.96,1782630031030,-122.737998962402,38.7868347167969,0.430000007152557
"11 km NNE of Ocotillo Wells, CA",1.02,1782629050120,-116.078166666667,33.2316666666667,9.68
"19 km WSW of Delta, B.C., MX",1.58,1782627879570,-115.388666666667,32.3183333333333,0.4
"35 km W of Salamatof, Alaska",2.5,1782627086486,-151.959,60.635,99.1
"3 km ESE of San Ramon, CA",1.39,1782626900030,-121.950668334961,37.771167755127,6.71999979019165
"11 km WNW of Cobb, CA",1.0,1782626338080,-122.84366607666,38.8605003356934,1.0900000333786
"173 km NNW of The Valley, Anguilla",3.8,1782626320640,-63.7693,19.6353,15.0
"48 km ENE of Noda, Japan",4.5,1782625172691,142.3616,40.2288,51.62
"11 km WNW of Cobb, CA",1.09,1782625112380,-122.843330383301,38.8603324890137,1.42999994754791
"11 km WSW of Forsan, Texas",1.2,1782624585016,-101.482,32.074,3.2501
"11 km WNW of Cobb, CA",1.25,1782624419220,-122.843002319336,38.8596649169922,0.850000023841858
"113 km NNE of San Juan, Puerto Rico",3.26,1782624393070,-65.8206666666667,19.4575,28.87
"8 km NE of Trabuco Canyon, CA",1.09,1782623097360,-117.528333333333,33.7188333333333,10.57
"20 km NW of Grapevine, CA",1.5,1782621794840,-119.100666666667,35.0495,15.68
"4 km E of Borrego Springs, CA",0.98,1782621248380,-116.330833333333,33.2566666666667,3.14
"9 km N of Anza, CA",0.68,1782619258570,-116.6855,33.6351666666667,16.2
"9 km N of Anza, CA",0.61,1782619247830,-116.684166666667,33.6358333333333,16.39
"9 km WNW of The Geysers, CA",0.72,1782618952430,-122.842002868652,38.818000793457,2.19000005722046
"18 km E of Little Lake, CA",-0.34,1782618363870,-117.713833333333,35.9166666666667,1.9
"17 km WSW of Johannesburg, CA",0.83,1782618310980,-117.803166666667,35.3161666666667,9.42
"34 km E of McKinney Acres, Texas",1.8,1782618232069,-102.167,32.352,4.198
"33 km E of McKinney Acres, Texas",1.8,1782618232068,-102.18,32.352,4.1265
"244 km SSE of Dunhuang, China",4.6,1782617961835,95.4339,38.0397,10.0
"18 km WSW of Johannesburg, CA",1.6,1782617907930,-117.816333333333,35.3181666666667,7.56
